learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.175648941,3.042332801613957E-9,100.0,54.0,22.271037512673207,30.303030303030308,-39.3939393939394,66.70269236287122,48.88888888888889,58.18181818181818,68.60530773574251,95.65217391304348,41.55844155844156,64.90275893260969,32.83582089552239,96.96969696969697,100.0,66952.0
200.0,0.230859042,4.0006577644000455E-9,200.0,63.0,32.86764038827906,44.3609022556391,-10.447761194029862,70.18457522346355,63.36633663366336,62.62626262626263,70.04093373160748,92.7536231884058,47.32824427480916,70.32880709235776,48.1203007518797,92.53731343283582,200.0,67096.0
300.0,0.266230898,4.614927594885231E-9,300.0,74.33333333333333,49.89154013015184,61.499999999999986,22.999999999999996,77.19162528385696,77.28613569321533,70.49808429118774,75.69373072970195,94.24460431654677,57.14285714285714,78.75000000000001,65.5,92.0,300.0,67128.0
400.0,0.288509944,5.003440689726009E-9,400.0,60.75000000000001,19.779265239384813,41.19850187265918,5.988023952095814,59.89605689100647,65.79520697167756,53.958944281524936,59.843861255213106,66.8141592920354,52.87356321839081,59.94834365603556,64.8068669527897,55.08982035928144,400.0,67408.0
500.0,0.310336794,5.384474722374645E-9,500.0,54.800000000000004,7.768654401802184,32.33532934131737,3.004291845493565,53.9929542904755,61.69491525423728,44.87804878048781,54.16207517797484,56.34674922600619,51.9774011299435,53.82488627413158,68.16479400749064,39.48497854077253,500.0,67480.0
600.0,0.332206591,5.766484795423847E-9,600.0,51.0,2.0000000000000018,26.683291770573568,2.0000000000000018,51.09134983243449,59.05292479108635,39.004149377593365,51.18302749881698,50.717703349282296,51.64835164835166,51.0,70.66666666666667,31.333333333333336,600.0,67520.0
700.0,0.352682478,6.124273915214258E-9,700.0,53.28571428571428,4.395549318364073,30.12820512820512,1.8018018018018,52.45069452642408,62.883087400681035,36.994219653179194,52.75197690473201,53.89105058365759,51.61290322580645,52.152834032943026,75.47683923705722,28.82882882882883,700.0,67544.0
800.0,0.369752022,6.4225416836866915E-9,800.0,56.00000000000001,8.114986785003433,34.20560747663552,4.0871934604904725,54.58293534188009,66.08863198458575,37.36654804270462,55.270184361093456,56.69421487603306,53.84615384615385,53.91256741194756,79.21478060046189,28.610354223433244,800.0,67544.0
900.0,0.384772944,6.685012484625397E-9,900.0,58.44444444444444,11.653543307086604,37.87375415282392,6.499999999999992,56.585556316539765,68.57142857142857,38.68852459016394,57.66045548654244,59.130434782608695,56.19047619047619,55.55,81.6,29.5,900.0,67544.0
1000.0,0.399058935,6.934700468372969E-9,1000.0,54.900000000000006,6.338262169795645,32.58594917787743,3.426124197002144,53.74699982344027,65.65118050266565,34.35225618631732,54.44638694638695,55.25641025641026,53.63636363636364,53.06535267625778,80.86303939962477,25.267665952890795,1000.0,67560.0
1100.0,0.416845756,7.24557532982073E-9,1100.0,52.63636363636364,3.5159196207305294,29.21195652173913,2.2514071294559015,52.18139573268641,63.844552394170705,31.3570487483531,52.6432231020028,52.63157894736842,52.654867256637175,51.727600914592784,81.12874779541445,22.326454033771107,1100.0,67560.0
1200.0,0.433560565,7.537748351219214E-9,1200.0,51.083333333333336,2.1666666666666723,26.89912826899129,2.1666666666666723,51.39957979765195,62.49201277955271,29.700598802395213,51.7197662881711,50.673575129533674,52.76595744680851,51.08333333333333,81.5,20.666666666666668,1200.0,67568.0
1300.0,0.450075772,7.826432351629354E-9,1300.0,52.307692307692314,3.027328005852044,28.73563218390805,2.0537124802527664,51.96506416916947,64.03712296983758,29.22374429223745,52.449085267333984,52.223273415326396,52.674897119341566,51.489894862995044,82.75862068965517,20.221169036334913,1300.0,67568.0
1400.0,0.465620482,8.098184342729963E-9,1400.0,53.57142857142857,4.247416258578275,30.629669156883665,2.5487256371814047,52.771856749573786,65.46227417640807,29.193899782135073,53.49914528136366,53.6118363794604,53.38645418326693,52.064077101967435,84.03819918144612,20.089955022488756,1400.0,67576.0
1500.0,0.480771902,8.36306085396765E-9,1500.0,55.06666666666666,6.093256548393076,32.86852589641434,3.7142857142857095,53.942619891276465,66.86332350049165,30.22774327122153,54.99628325270226,55.10534846029174,54.88721804511278,52.92857142857142,85.0,20.857142857142858,1500.0,67576.0
